Date,Ticker,Sector,Rank,Final_Score,ML_Score,Momentum_Score,Return_20,Return_60,RSI,Volatility,Volume_change,Signal_Summary
2020-01-31,AAPL,Technology,1,0.8958721170310595,0.009381225359145,0.2515214219991186,0.0304977641949917,0.2019806204490291,49.36886013354261,0.0176791037538897,0.5747464163757898,Final Score=0.896; ML Score=0.009; Momentum Score=0.252; 20D Return=0.03; 60D Return=0.202; RSI=49.369; Volatility=0.018
2020-01-31,ABBV,Healthcare,2,0.8429364657293923,0.0198993934119186,0.0517061877547052,-0.0952541163372295,-0.0237378150549772,13.848925675856464,0.0097657678155787,0.275998160073597,Final Score=0.843; ML Score=0.02; Momentum Score=0.052; 20D Return=-0.095; 60D Return=-0.024; RSI=13.849; Volatility=0.01
2020-01-31,BAC,Finance,3,0.3190464860077934,0.0194965218484141,0.0406321891398349,-0.0788439283590421,0.0132716137322501,31.237779328300547,0.0114972476288081,0.0851258735170983,Final Score=0.319; ML Score=0.019; Momentum Score=0.041; 20D Return=-0.079; 60D Return=0.013; RSI=31.238; Volatility=0.011
2020-01-31,NVDA,Technology,4,0.0281034145123758,0.0127067435230976,0.2123535085724842,-0.0145054222017423,0.123182921898737,43.02387273272449,0.0188258478208791,0.2750943188389834,Final Score=0.028; ML Score=0.013; Momentum Score=0.212; 20D Return=-0.015; 60D Return=0.123; RSI=43.024; Volatility=0.019
2020-01-31,UNH,Healthcare,5,0.0190929515437942,0.0141534727748696,0.034705853475663,-0.0685469668135684,0.0843781580379352,31.181536697596172,0.0164303489962668,0.3135951374709149,Final Score=0.019; ML Score=0.014; Momentum Score=0.035; 20D Return=-0.069; 60D Return=0.084; RSI=31.182; Volatility=0.016
2020-01-31,MS,Finance,6,0.0148473172984368,0.01513404523851,0.1063685778538749,0.0042274673738567,0.0702436281355436,50.19762547868429,0.0209984402885302,0.2994508341104549,Final Score=0.015; ML Score=0.015; Momentum Score=0.106; 20D Return=0.004; 60D Return=0.07; RSI=50.198; Volatility=0.021
2020-01-31,JNJ,Healthcare,7,-0.009317288940356,0.0156378646743449,0.0920805315758091,0.0198670539989902,0.1431313829468761,69.82311845030168,0.0054876494122691,0.3370784780391309,Final Score=-0.009; ML Score=0.016; Momentum Score=0.092; 20D Return=0.02; 60D Return=0.143; RSI=69.823; Volatility=0.005
2020-01-31,GS,Finance,8,-0.0270575520168814,0.0162492798072251,0.076925349734292,0.0146380700263264,0.0813208044748567,44.56088187201739,0.0135030983427282,0.0677867369776497,Final Score=-0.027; ML Score=0.016; Momentum Score=0.077; 20D Return=0.015; 60D Return=0.081; RSI=44.561; Volatility=0.014
2020-01-31,MSFT,Technology,9,-0.0394485278045275,0.0122091009643826,0.1526315117601213,0.0598306618260082,0.1776547363100797,65.89201671755654,0.0129700957479026,-0.2995261398323562,Final Score=-0.039; ML Score=0.012; Momentum Score=0.153; 20D Return=0.06; 60D Return=0.178; RSI=65.892; Volatility=0.013
2020-01-31,GOOGL,Technology,10,-0.0688945407532549,0.0140742322792264,0.1110518478390751,0.0468334734147912,0.1110180713967599,51.08241017530418,0.0116155601205108,0.6164514939136849,Final Score=-0.069; ML Score=0.014; Momentum Score=0.111; 20D Return=0.047; 60D Return=0.111; RSI=51.082; Volatility=0.012
2020-02-28,NVDA,Technology,1,1.8367371599093925,0.0366676505557778,0.2737983931291087,0.0986941400608945,0.2906571543214187,55.870393340419845,0.0410958972673999,0.2502559531164499,Final Score=1.837; ML Score=0.037; Momentum Score=0.274; 20D Return=0.099; 60D Return=0.291; RSI=55.87; Volatility=0.041
2020-02-28,AAPL,Technology,2,0.7103334989884258,0.0438038556053343,0.0588743835475635,-0.1559576698278231,0.0348273075481213,22.030464874094537,0.0250904028494498,0.330326107840911,Final Score=0.71; ML Score=0.044; Momentum Score=0.059; 20D Return=-0.156; 60D Return=0.035; RSI=22.03; Volatility=0.025
2020-02-28,PFE,Healthcare,3,0.3358829404771059,0.0337176749354391,-0.0970413250869469,-0.0984622998656804,-0.1271872416517111,15.805044745741966,0.0131403262335227,0.1914086592785293,Final Score=0.336; ML Score=0.034; Momentum Score=-0.097; 20D Return=-0.098; 60D Return=-0.127; RSI=15.805; Volatility=0.013
2020-02-28,UNH,Healthcare,4,0.3200704297934121,0.0349222273474731,-0.0284652491901149,-0.0926044674178869,-0.08832152122148,29.185917051921574,0.0298402127443893,0.3099167576239758,Final Score=0.32; ML Score=0.035; Momentum Score=-0.028; 20D Return=-0.093; 60D Return=-0.088; RSI=29.186; Volatility=0.03
2020-02-28,ABBV,Healthcare,5,0.2870089388582342,0.0295309060512328,0.0840831007707045,0.0480557638033456,-0.0151671804359283,34.22818399202389,0.0236045569001436,0.3007522507596534,Final Score=0.287; ML Score=0.03; Momentum Score=0.084; 20D Return=0.048; 60D Return=-0.015; RSI=34.228; Volatility=0.024
2020-02-28,MRK,Healthcare,6,0.2311759707930766,0.0336459526470448,-0.1101036410555027,-0.1149133012948351,-0.1204044100760795,14.55901359854137,0.0129571065014861,0.8587547181299298,Final Score=0.231; ML Score=0.034; Momentum Score=-0.11; 20D Return=-0.115; 60D Return=-0.12; RSI=14.559; Volatility=0.013
2020-02-28,MSFT,Technology,7,0.0054626276472426,0.0225583560740644,0.0562480350510036,-0.0623336285944657,0.0833165576784764,28.56581671029454,0.0257932003979761,0.0411892043887356,Final Score=0.005; ML Score=0.023; Momentum Score=0.056; 20D Return=-0.062; 60D Return=0.083; RSI=28.566; Volatility=0.026
2020-02-28,JPM,Finance,8,-0.0584823729467627,0.020024526574816,-0.0750416858012961,-0.1455588996110013,-0.1168327410643756,11.258293946618965,0.0191153034307662,0.9965399578361696,Final Score=-0.058; ML Score=0.02; Momentum Score=-0.075; 20D Return=-0.146; 60D Return=-0.117; RSI=11.258; Volatility=0.019
2020-02-28,GOOGL,Technology,9,-0.2712968236241157,0.0186226476665799,0.0198996029429067,-0.0790785611736041,0.0390965768415565,26.593270321978963,0.021604402051938,0.2874939797720339,Final Score=-0.271; ML Score=0.019; Momentum Score=0.02; 20D Return=-0.079; 60D Return=0.039; RSI=26.593; Volatility=0.022
2020-02-28,JNJ,Healthcare,10,-0.3185909488236567,0.0212123820289915,-0.0257534891950163,-0.1056132270441028,-0.0209668380170017,8.289453097011275,0.0130659437373259,0.5772080180158674,Final Score=-0.319; ML Score=0.021; Momentum Score=-0.026; 20D Return=-0.106; 60D Return=-0.021; RSI=8.289; Volatility=0.013
2020-03-31,NVDA,Technology,1,2.153163191874357,0.0018779875270534,0.2125098713968618,-0.0086125873672391,0.1166179615568301,53.727319571712634,0.0850332413556479,0.5773463599954836,Final Score=2.153; ML Score=0.002; Momentum Score=0.213; 20D Return=-0.009; 60D Return=0.117; RSI=53.727; Volatility=0.085
2020-03-31,MSFT,Technology,2,1.1965971291670794,-0.0294770769341636,0.0563454097969185,-0.0413348004378311,-0.0057369085319163,51.61213848569064,0.0705270034417345,0.2287422166088775,Final Score=1.197; ML Score=-0.029; Momentum Score=0.056; 20D Return=-0.041; 60D Return=-0.006; RSI=51.612; Volatility=0.071
2020-03-31,UNH,Healthcare,3,0.8761490499657528,-0.0358669547559004,0.0159217197574929,-0.0459831266041721,-0.1387027784655141,44.41428873596355,0.0795928696876327,0.0227059485832239,Final Score=0.876; ML Score=-0.036; Momentum Score=0.016; 20D Return=-0.046; 60D Return=-0.139; RSI=44.414; Volatility=0.08
2020-03-31,JNJ,Healthcare,4,0.7242922708910104,-0.0556086042168906,-0.0207658552612785,-0.0328932190835363,-0.0911421819222478,49.61892930843164,0.0539522998875522,-0.2761744966442953,Final Score=0.724; ML Score=-0.056; Momentum Score=-0.021; 20D Return=-0.033; 60D Return=-0.091; RSI=49.619; Volatility=0.054
2020-03-31,MRK,Healthcare,5,0.2092808658251045,-0.0975065233645527,-0.0621258734139831,-0.0276759311147185,-0.1568219075911286,47.35395020305899,0.0480715339009642,-0.0457906429258264,Final Score=0.209; ML Score=-0.098; Momentum Score=-0.062; 20D Return=-0.028; 60D Return=-0.157; RSI=47.354; Volatility=0.048
2020-03-31,AAPL,Technology,6,0.2092509987195574,-0.0934425576706955,-0.0166061147818168,-0.1210770536129237,-0.1450425325352912,44.345174514034255,0.0643833460087348,0.1727957022534119,Final Score=0.209; ML Score=-0.093; Momentum Score=-0.017; 20D Return=-0.121; 60D Return=-0.145; RSI=44.345; Volatility=0.064
2020-03-31,PFE,Healthcare,7,0.0279506660824791,-0.1068088750627228,-0.0708637862724784,-0.0483964593537448,-0.1615720704419228,51.215728576535035,0.0515768407649484,-0.0159419196975851,Final Score=0.028; ML Score=-0.107; Momentum Score=-0.071; 20D Return=-0.048; 60D Return=-0.162; RSI=51.216; Volatility=0.052
2020-03-31,GOOGL,Technology,8,-0.527372792855572,-0.1743536344297296,-0.0743002271810492,-0.1313952326494185,-0.14657878076495,46.79315118653461,0.0548392701504732,0.1105284663579406,Final Score=-0.527; ML Score=-0.174; Momentum Score=-0.074; 20D Return=-0.131; 60D Return=-0.147; RSI=46.793; Volatility=0.055
2020-03-31,BAC,Finance,9,-0.5377384942904876,-0.1250255739268886,-0.2441429411560587,-0.2349549714509431,-0.3916905841252199,46.842103722132734,0.0901858800654273,0.1835272240460117,Final Score=-0.538; ML Score=-0.125; Momentum Score=-0.244; 20D Return=-0.235; 60D Return=-0.392; RSI=46.842; Volatility=0.09
2020-03-31,ABBV,Healthcare,10,-0.5475125891662153,-0.1815088925370288,-0.0363040488836434,-0.1299531494013535,-0.1410371469813658,40.96788254745334,0.0525889928426969,0.9185876532103904,Final Score=-0.548; ML Score=-0.182; Momentum Score=-0.036; 20D Return=-0.13; 60D Return=-0.141; RSI=40.968; Volatility=0.053
2020-04-30,NVDA,Technology,1,0.8786773625965119,0.0171271035712985,0.2423611794218032,0.202452034186167,0.1826974230918929,62.86290598485063,0.0407235041010186,-0.0085557548264585,Final Score=0.879; ML Score=0.017; Momentum Score=0.242; 20D Return=0.202; 60D Return=0.183; RSI=62.863; Volatility=0.041
2020-04-30,MSFT,Technology,2,0.6216712345628774,0.0294708544555379,0.1263315464317105,0.1781605811240223,-0.0050521231844818,63.28612283336773,0.0278894329532873,0.0504868718144699,Final Score=0.622; ML Score=0.029; Momentum Score=0.126; 20D Return=0.178; 60D Return=-0.005; RSI=63.286; Volatility=0.028
2020-04-30,UNH,Healthcare,3,0.4515225527274366,0.0205178175954447,0.1212624192399251,0.2323866180449769,0.0414114977726318,65.6194863076254,0.0352135035307742,0.7921519819650573,Final Score=0.452; ML Score=0.021; Momentum Score=0.121; 20D Return=0.232; 60D Return=0.041; RSI=65.619; Volatility=0.035
