Date,Ticker,Sector,Rank,Final_Score,ML_Score,Momentum_Score,Return_20,Return_60,RSI,Volatility,Volume_change,Signal_Summary
2020-01-31,BAC,Finance,1,0.3190464860077934,0.0194965218484141,0.0406321891398349,-0.0788439283590421,0.0132716137322501,31.237779328300547,0.0114972476288081,0.0851258735170983,Final Score=0.319; ML Score=0.019; Momentum Score=0.041; 20D Return=-0.079; 60D Return=0.013; RSI=31.238; Volatility=0.011
2020-01-31,MS,Finance,2,0.0148473172984368,0.01513404523851,0.1063685778538749,0.0042274673738567,0.0702436281355436,50.19762547868429,0.0209984402885302,0.2994508341104549,Final Score=0.015; ML Score=0.015; Momentum Score=0.106; 20D Return=0.004; 60D Return=0.07; RSI=50.198; Volatility=0.021
2020-01-31,GS,Finance,3,-0.0270575520168814,0.0162492798072251,0.076925349734292,0.0146380700263264,0.0813208044748567,44.56088187201739,0.0135030983427282,0.0677867369776497,Final Score=-0.027; ML Score=0.016; Momentum Score=0.077; 20D Return=0.015; 60D Return=0.081; RSI=44.561; Volatility=0.014
2020-02-28,JPM,Finance,1,-0.0584823729467627,0.020024526574816,-0.0750416858012961,-0.1455588996110013,-0.1168327410643756,11.258293946618965,0.0191153034307662,0.9965399578361696,Final Score=-0.058; ML Score=0.02; Momentum Score=-0.075; 20D Return=-0.146; 60D Return=-0.117; RSI=11.258; Volatility=0.019
2020-02-28,GS,Finance,2,-0.4054036111811782,0.0190685438313351,-0.0890689551531142,-0.1776102885475518,-0.077513302538586,12.657948488613457,0.0164104307922285,0.1502855579494546,Final Score=-0.405; ML Score=0.019; Momentum Score=-0.089; 20D Return=-0.178; 60D Return=-0.078; RSI=12.658; Volatility=0.016
2020-02-28,MS,Finance,3,-0.5718715389261911,0.0148867282609758,-0.0549178316943888,-0.1633222029983152,-0.082518396509008,13.976957917417876,0.0220036021030382,0.3790238372266477,Final Score=-0.572; ML Score=0.015; Momentum Score=-0.055; 20D Return=-0.163; 60D Return=-0.083; RSI=13.977; Volatility=0.022
2020-03-31,BAC,Finance,1,-0.5377384942904876,-0.1250255739268886,-0.2441429411560587,-0.2349549714509431,-0.3916905841252199,46.842103722132734,0.0901858800654273,0.1835272240460117,Final Score=-0.538; ML Score=-0.125; Momentum Score=-0.244; 20D Return=-0.235; 60D Return=-0.392; RSI=46.842; Volatility=0.09
2020-03-31,V,Finance,2,-0.5521192889494796,-0.1702888163631389,-0.0881055108998357,-0.1325041790581516,-0.1502110235733796,45.680275137296185,0.0682266258513876,0.3117248401158166,Final Score=-0.552; ML Score=-0.17; Momentum Score=-0.088; 20D Return=-0.133; 60D Return=-0.15; RSI=45.68; Volatility=0.068
2020-03-31,GS,Finance,3,-0.8130168623676547,-0.1490105048472575,-0.2226489188117777,-0.24008257433175,-0.3324553281130502,44.641970879188555,0.0845925370462644,-0.1359564631092275,Final Score=-0.813; ML Score=-0.149; Momentum Score=-0.223; 20D Return=-0.24; 60D Return=-0.332; RSI=44.642; Volatility=0.085
2020-04-30,MS,Finance,1,0.2451483211146849,0.0332968702836739,-0.0895853586523286,0.2469955489770863,-0.2700851541827604,43.142137600552005,0.037014466101272,-0.1541963678496763,Final Score=0.245; ML Score=0.033; Momentum Score=-0.09; 20D Return=0.247; 60D Return=-0.27; RSI=43.142; Volatility=0.037
2020-04-30,GS,Finance,2,-0.2504614848415936,0.0154459084923776,-0.0689876896191126,0.262440681704208,-0.2418781668262299,49.136162181195985,0.0325454182967899,-0.1266565142727538,Final Score=-0.25; ML Score=0.015; Momentum Score=-0.069; 20D Return=0.262; 60D Return=-0.242; RSI=49.136; Volatility=0.033
