Date,Strategy_Return,SPY_Return
2020-02-04,0.01875519847388315,0.015241441042689985
2020-02-05,0.017788950400806403,0.011547807696542733
2020-02-06,0.004840321503261946,0.0033649701997331416
2020-02-07,-0.0003156843933155518,-0.0053296407234425525
2020-02-10,0.012043987450518656,0.007465168144460854
2020-02-11,0.0024460173040062537,0.0017332526989841668
2020-02-12,0.012535560154939906,0.0064428071008633125
2020-02-13,-0.006422433489053958,-0.0010671745980973535
2020-02-14,0.004956588745638757,0.0016024224775865736
2020-02-18,-0.0023027763544910874,-0.0025772425967209855
2020-02-19,0.01392949262828821,0.00478113591919227
2020-02-20,-0.012415101759169989,-0.004108155334324626
2020-02-21,-0.015566950188431794,-0.010297938341009893
2020-02-24,-0.04546633483015907,-0.03316584665721434
2020-02-25,-0.03325672666711146,-0.030301922390157165
2020-02-26,-0.0003435266480577903,-0.0036782922333646884
2020-02-27,-0.0480922128030218,-0.044911701351803224
2020-02-28,0.003149197150817196,-0.004201425056571284
2020-03-02,0.051859417704478064,0.04330640986175238
2020-03-03,-0.03216893844766755,-0.02863236274415537
2020-03-04,0.05335077434907472,0.04203274165175519
2020-03-05,-0.02819765997974354,-0.03324145729493366
2020-03-06,-0.015542935249619949,-0.016531102747370574
2020-03-09,-0.061291796408933265,-0.07809445909419377
2020-03-10,0.04826110903613719,0.0517449674481949
2020-03-11,-0.04452171388077286,-0.04874859266895726
2020-03-12,-0.08283928398384337,-0.09567723037773745
2020-03-13,0.10115959987066932,0.08548668700097961
2020-03-16,-0.12489935113635772,-0.10942397636291978
2020-03-17,0.06093119541481805,0.05399204673164726
2020-03-18,-0.044482843174473506,-0.050632928113418685
2020-03-19,-0.002366780308290628,0.0021250329155737546
2020-03-20,-0.03805645350276722,-0.043094490309932176
2020-03-23,-0.03441691508014032,-0.025567975711580204
2020-03-24,0.08827788158169406,0.0906032171052813
2020-03-25,0.004739176771971121,0.014970252624506353
2020-03-26,0.06692065654099026,0.05838982691742434
2020-03-27,-0.03610897583214021,-0.029785557938478147
2020-03-30,0.049005647762179326,0.03247571246683845
2020-03-31,-0.005884666091098267,-0.014905515169397865
2020-04-01,-0.0456774402045629,-0.045004880942736136
2020-04-02,0.028942667740038463,0.02307545920085574
2020-04-03,-0.01628112476369973,-0.014454326245865623
2020-04-06,0.06495818352930845,0.06716638320042856
2020-04-07,-0.009430420282361806,0.00101923600355458
2020-04-08,0.037831997515901675,0.033568736237137964
2020-04-09,0.00727187938907361,0.01521730952830791
2020-04-13,-0.002301214312918387,-0.009129986554666347
2020-04-14,0.03492410575377079,0.02949243022485737
2020-04-15,-0.0075196531236466965,-0.021247948553602347
2020-04-16,0.013511703902508354,0.0048243585554927915
2020-04-17,0.01341580996786026,0.0270154471861912
2020-04-20,-0.01576776713683118,-0.017618077929731024
2020-04-21,-0.03623395300356593,-0.03036317034839786
2020-04-22,0.025206898048289083,0.022194545871595528
2020-04-23,0.006675099413197172,-7.184516463010215e-05
2020-04-24,0.014643042576798404,0.013938725470369784
2020-04-27,0.015281403292850793,0.014418308453602258
2020-04-28,-0.017704312369150665,-0.004598196736157023
2020-04-29,0.023076556636573063,0.026178286039614695
2020-04-30,-0.0030277850932880824,-0.009310366652653168
2020-05-01,-0.018421537108528906,-0.02647365857371531
2020-05-04,0.007780177545621991,0.0027585912189973527
2020-05-05,0.015378947458088332,0.009239354529483546
2020-05-06,-0.00033362435993306017,-0.006779047188845477
2020-05-07,0.00408576259181046,0.01206702472549348
2020-05-08,0.011931459590645488,0.016545893427122316
2020-05-11,0.015006651397233894,0.00020536305213325612
2020-05-12,-0.014371699767790302,-0.019931448474729163
2020-05-13,-0.01702813754882996,-0.017685831982916955
2020-05-14,0.016386045877793066,0.011967073923808691
2020-05-15,0.010834644945436345,0.004597041257571544
2020-05-18,0.018901009192855533,0.03045930985121381
2020-05-19,-0.005829869682580024,-0.010270766045082702
2020-05-20,0.016472232211321835,0.01698797050701928
2020-05-21,-0.005530591707752053,-0.006904040434533076
2020-05-22,0.0042247016056082606,0.0018991728257404805
2020-05-26,0.0034434407929448186,0.012320380458508584
2020-05-27,0.0064423160083860505,0.014879121498783787
2020-05-28,-0.004014225760913615,-0.0018448313822804208
2020-05-29,0.010422038905662212,0.004455853150578726
2020-06-01,0.004193407293152085,0.004041503547974834
2020-06-02,0.006657881661327858,0.008280161696103239
2020-06-03,0.00717907189456638,0.01330823534279979
2020-06-04,-0.003183353888004503,-0.002626499033540286
2020-06-05,0.025253692527213035,0.025629368012219933
2020-06-08,0.0040971438533560335,0.01208755862316746
2020-06-09,0.007610404177763019,-0.007456754184627434
2020-06-10,0.0040744895890722724,-0.0055797832105817236
2020-06-11,-0.0609468878909458,-0.057649192278972694
2020-06-12,0.015020429345187191,0.01197585744886398
2020-06-15,0.01127870323241421,0.009335367820672902
2020-06-16,0.015642102969098716,0.019247871117619164
2020-06-17,-0.0018444924290136,-0.004153968945000752
2020-06-18,-0.0015509557764268544,0.00038518367967377287
2020-06-19,-0.0028430476252683467,-0.005714942854298299
2020-06-22,0.012577115797457595,0.006415409233605729
2020-06-23,0.009335311907179655,0.00460352607836545
2020-06-24,-0.026593896735136846,-0.025508956246588665
2020-06-25,0.020435697370646943,0.010720743390092213
2020-06-26,-0.042969616397435774,-0.023751522533495772
2020-06-29,0.013669119888040449,0.01469741145118042
2020-06-30,0.018850291454062494,0.012810044805193321
2020-07-01,0.006361837375554314,0.0070044553635599804
2020-07-02,0.002200176266655407,0.005507234991858567
2020-07-06,0.018989110369490268,0.015437173264548631
2020-07-07,-0.010609538474710401,-0.010313994424377637
2020-07-08,0.012469604835083248,0.007648754158248394
2020-07-09,-0.0034452063386851027,-0.0056929949650792455
2020-07-10,0.011185636127627352,0.010210345910504959
2020-07-13,-0.00755840389357818,-0.008658631306391107
2020-07-14,0.012998270991668193,0.012958923602118144
2020-07-15,0.004368427613112069,0.00918736309019419
2020-07-16,-0.007513019889966499,-0.003293714686175897
2020-07-17,-0.002755666314573968,0.0028992519727957244
2020-07-20,0.014061327197255257,0.008081862452996802
2020-07-21,-0.003340777840586562,0.0021272792350315317
2020-07-22,0.0034507684852135624,0.0056918904290752526
2020-07-23,-0.018326572795328955,-0.011931553594659916
2020-07-24,-0.005890679471265758,-0.006440645528079991
2020-07-27,0.006438463588693477,0.007292451244254261
2020-07-28,-0.006409580264689829,-0.006341998321058306
2020-07-29,0.01772881713066472,0.012298232682862897
2020-07-30,-0.004074411774238185,-0.0035676157840870415
2020-07-31,0.011821723246429616,0.007902118614626419
2020-08-03,0.011751802612491213,0.006952388790376407
2020-08-04,-0.0021556734590444603,0.003862656586476332
2020-08-05,0.005760067365129862,0.006210968020139207
2020-08-06,0.01341487649496087,0.006683988633069182
2020-08-07,0.0018235935312804542,0.0007181483320353177
2020-08-10,-6.823517894789521e-05,0.0029889847686750404
2020-08-11,-0.009679933460879475,-0.00825448432447784
2020-08-12,0.019961435015381324,0.013942231197965782
2020-08-13,-0.0007681202993822245,-0.0018078171636253249
2020-08-14,0.0015448784470476705,2.973345576062769e-05
2020-08-17,0.004158060638841432,0.003176675062438461
2020-08-18,-0.0008272164032851692,0.002160083269287849
2020-08-19,-0.0024595387874644103,-0.004163372473231619
2020-08-20,0.005903468506285503,0.00311340833675966
2020-08-21,0.007893137117748006,0.003547346647241989
2020-08-24,0.007547441666145682,0.010133374356118274
2020-08-25,0.006652628295763197,0.0034991544890732307
2020-08-26,0.009495174265678464,0.01002565051995008
2020-08-27,0.0012372756432889932,0.002186492229117931
2020-08-28,0.008030672907633495,0.006459574520577771
2020-08-31,-0.0009573790803923177,-0.00362276516401816
2020-09-01,0.007598079210160457,0.00941870990415139
2020-09-02,0.017106185235261872,0.014463913895953917
2020-09-03,-0.04332821509199238,-0.0344141369003067
2020-09-04,-0.007954644426205072,-0.008164681248516659
2020-09-08,-0.037796258281698594,-0.027322988559757122
2020-09-09,0.02178507874942307,0.01974730339840547
2020-09-10,-0.019770465679078954,-0.017363847318531578
2020-09-11,-0.0011571552019860709,0.0005093256083470443
2020-09-14,0.015188699758538204,0.013171213105553914
2020-09-15,0.0037622089315716865,0.0050524147995831825
2020-09-16,-0.011496431448505196,-0.003968773732965669
2020-09-17,-0.012549122141191393,-0.008795456565263038
