Date,Strategy_Drawdown,SPY_Drawdown
2020-02-04,0.0,0.0
2020-02-05,0.0,0.0
2020-02-06,0.0,0.0
2020-02-07,-0.00031568439331552955,-0.0053296407234425525
2020-02-10,0.0,0.0
2020-02-11,0.0,0.0
2020-02-12,0.0,0.0
2020-02-13,-0.006422433489053803,-0.0010671745980973535
2020-02-14,-0.0014976781049663712,0.0
2020-02-18,-0.0037970056417306886,-0.0025772425967208745
2020-02-19,0.0,0.0
2020-02-20,-0.012415101759170044,-0.004108155334324626
2020-02-21,-0.02778878667693252,-0.014363788145006384
2020-02-24,-0.07199166722751427,-0.047053247607186655
2020-02-25,-0.10285418669533064,-0.075929366140146
2020-02-26,-0.10316238018939439,-0.07932836797575316
2020-02-27,-0.1462932858510816,-0.12067729735630339
2020-02-28,-0.14360479509925017,-0.12437170579200263
2020-03-02,-0.09919263844819015,-0.086451387996484
2020-03-03,-0.12817065501515612,-0.11260844323978836
2020-03-04,-0.08165788435996824,-0.07530894319053749
2020-03-05,-0.10755298308186412,-0.10604702146647627
2020-03-06,-0.12142422927953922,-0.12082505000593191
2020-03-09,-0.17527371654835922,-0.1894837421748835
2020-03-10,-0.1354715114577315,-0.14754360479749007
2020-03-11,-0.1739618014663874,-0.18909965437526488
2020-03-12,-0.24239021437621566,-0.2666843535569895
2020-03-13,-0.16575071160441002,-0.2039956284165949
2020-03-16,-0.2699479064109874,-0.29109759195751816
2020-03-17,-0.2254649596335183,-0.2528225000143113
2020-03-18,-0.25991848036727505,-0.2906542846590505
2020-03-19,-0.26167009073447156,-0.2891469016654298
2020-03-20,-0.28976830859613745,-0.3197807536233942
2020-03-23,-0.3142122924064087,-0.33717258279330065
2020-03-24,-0.2536724063652802,-0.2771182864087892
2020-03-25,-0.2501354279692455,-0.26629656453869277
2020-03-26,-0.1999539984921186,-0.22345574793338752
2020-03-27,-0.2288428402251671,-0.24658555174510977
2020-03-30,-0.19105178408395895,-0.2221178807552222
2020-03-31,-0.1958121742196146,-0.23371261448362868
2020-04-01,-0.23254541554493557,-0.2681992870367135
2020-04-02,-0.2103332325014834,-0.25131264954157206
2020-04-03,-0.22318989566487413,-0.2621344207612508
2020-04-06,-0.1727297223400518,-0.2125746585156949
2020-04-07,-0.1805312287454912,-0.21177208625754285
2020-04-08,-0.14952908822703181,-0.18531227132637285
2020-04-09,-0.14334456633270332,-0.17291491599023212
2020-04-13,-0.1453159140778978,-0.18046619168680644
2020-04-14,-0.11546683667508939,-0.1562961480282179
2020-04-15,-0.1221182192396546,-0.17422312406939044
2020-04-16,-0.11025654055661416,-0.17023928033306657
2020-04-17,-0.09831991138457508,-0.1478229234337285
2020-04-20,-0.1125373930537803,-0.16283664557860345
2020-04-21,-0.14469367144629164,-0.18825557911833646
2020-04-22,-0.12313405202238181,-0.17023928033306657
2020-04-23,-0.1172808846475839,-0.17029889462857462
2020-04-24,-0.10435519105812452,-0.15873391869833997
2020-04-27,-0.09066848152553542,-0.1466042848465794
2020-04-28,-0.10676757077572141,-0.15052836623864818
2020-04-29,-0.08615484203310353,-0.1282906548275048
2020-04-30,-0.08892176877996916,-0.13640658844560483
2020-05-01,-0.10570523022516187,-0.15926906556960585
2020-05-04,-0.09874745813819241,-0.15694983259634676
2020-05-05,-0.08488714265043107,-0.1491605932135639
2020-05-06,-0.08519244659173086,-0.15492847370229834
2020-05-07,-0.0814547601113097,-0.14473097469965346
2020-05-08,-0.07049517469939814,-0.1305797845555151
2020-05-11,-0.05654641981406516,-0.13040123776648505
2020-05-12,-0.07010545141334434,-0.1477336006896307
2020-05-13,-0.08593982369258502,-0.16280664103251952
2020-05-14,-0.070961991708548,-0.15278788621723394
2020-05-15,-0.06089619474789465,-0.14889321717626025
2020-05-18,-0.04314618509177914,-0.1229690919617622
2020-05-19,-0.04872451813797363,-0.13197687123252944
2020-05-20,-0.033054887503805364,-0.11723091992161705
2020-05-21,-0.03840266612482823,-0.12332559334483373
2020-05-22,-0.03434020432445717,-0.12166063713469222
2020-05-26,-0.03101501199192125,-0.11083916201250754
2020-05-27,-0.024772504491791247,-0.09760922987213128
2020-05-28,-0.028687287827011465,-0.09927398868394333
2020-05-29,-0.018564228951180373,-0.09526048584861246
2020-06-01,-0.014448669031103978,-0.09160397789217656
2020-06-02,-0.007886984898348826,-0.0840823119450268
2020-06-03,-0.000764534235398906,-0.07189306379775806
2020-06-04,-0.003945454340372745,-0.0743307357687153
2020-06-05,0.0,-0.05060641753813089
2020-06-08,0.0,-0.039130566953664014
2020-06-09,0.0,-0.046295534119412785
2020-06-10,0.0,-0.05161699828599009
2020-06-11,-0.06094688789094571,-0.10629051230591036
2020-06-12,-0.046841906969133484,-0.09558757488058867
2020-06-15,-0.036091519704264496,-0.0871445522305122
2020-06-16,-0.021013964002691288,-0.06957402822282854
2020-06-17,-0.022819696334198225,-0.07343898881521305
2020-06-18,-0.024335259770779216,-0.0730820926354826
2020-06-19,-0.027109121093546018,-0.07837937550669671
2020-06-22,-0.014872959851249146,-0.07246680204244083
2020-06-23,-0.005676491663263783,-0.06819687877709357
2020-06-24,-0.032119428365290026,-0.09196620382680343
2020-06-25,-0.01234011391243428,-0.08223140650849925
2020-06-26,-0.05477948034875213,-0.10402980793734729
2020-06-29,-0.04185914774500321,-0.09086136537660938
2020-06-30,-0.02379791342595272,-0.07921525873295154
2020-07-01,-0.017587474505491918,-0.07276566311329935
2020-07-02,-0.015425993782833824,-0.06765916572754405
2020-07-06,0.0,-0.05326645872726632
2020-07-07,-0.010609538474710356,-0.06303106319332463
2020-07-08,0.0,-0.055864418141774896
