Date,Ticker,Sector,Rank,Final_Score,ML_Score,Momentum_Score,Return_20,Return_60,RSI,Volatility,Volume_change,Signal_Summary
2020-01-31,ABBV,Healthcare,1,0.8429364657293923,0.0198993934119186,0.0517061877547052,-0.0952541163372295,-0.0237378150549772,13.848925675856464,0.0097657678155787,0.275998160073597,Final Score=0.843; ML Score=0.02; Momentum Score=0.052; 20D Return=-0.095; 60D Return=-0.024; RSI=13.849; Volatility=0.01
2020-01-31,UNH,Healthcare,2,0.0190929515437942,0.0141534727748696,0.034705853475663,-0.0685469668135684,0.0843781580379352,31.181536697596172,0.0164303489962668,0.3135951374709149,Final Score=0.019; ML Score=0.014; Momentum Score=0.035; 20D Return=-0.069; 60D Return=0.084; RSI=31.182; Volatility=0.016
2020-01-31,JNJ,Healthcare,3,-0.009317288940356,0.0156378646743449,0.0920805315758091,0.0198670539989902,0.1431313829468761,69.82311845030168,0.0054876494122691,0.3370784780391309,Final Score=-0.009; ML Score=0.016; Momentum Score=0.092; 20D Return=0.02; 60D Return=0.143; RSI=69.823; Volatility=0.005
2020-02-28,PFE,Healthcare,1,0.3358829404771059,0.0337176749354391,-0.0970413250869469,-0.0984622998656804,-0.1271872416517111,15.805044745741966,0.0131403262335227,0.1914086592785293,Final Score=0.336; ML Score=0.034; Momentum Score=-0.097; 20D Return=-0.098; 60D Return=-0.127; RSI=15.805; Volatility=0.013
2020-02-28,UNH,Healthcare,2,0.3200704297934121,0.0349222273474731,-0.0284652491901149,-0.0926044674178869,-0.08832152122148,29.185917051921574,0.0298402127443893,0.3099167576239758,Final Score=0.32; ML Score=0.035; Momentum Score=-0.028; 20D Return=-0.093; 60D Return=-0.088; RSI=29.186; Volatility=0.03
2020-02-28,ABBV,Healthcare,3,0.2870089388582342,0.0295309060512328,0.0840831007707045,0.0480557638033456,-0.0151671804359283,34.22818399202389,0.0236045569001436,0.3007522507596534,Final Score=0.287; ML Score=0.03; Momentum Score=0.084; 20D Return=0.048; 60D Return=-0.015; RSI=34.228; Volatility=0.024
2020-03-31,UNH,Healthcare,1,0.8761490499657528,-0.0358669547559004,0.0159217197574929,-0.0459831266041721,-0.1387027784655141,44.41428873596355,0.0795928696876327,0.0227059485832239,Final Score=0.876; ML Score=-0.036; Momentum Score=0.016; 20D Return=-0.046; 60D Return=-0.139; RSI=44.414; Volatility=0.08
2020-03-31,JNJ,Healthcare,2,0.7242922708910104,-0.0556086042168906,-0.0207658552612785,-0.0328932190835363,-0.0911421819222478,49.61892930843164,0.0539522998875522,-0.2761744966442953,Final Score=0.724; ML Score=-0.056; Momentum Score=-0.021; 20D Return=-0.033; 60D Return=-0.091; RSI=49.619; Volatility=0.054
2020-03-31,MRK,Healthcare,3,0.2092808658251045,-0.0975065233645527,-0.0621258734139831,-0.0276759311147185,-0.1568219075911286,47.35395020305899,0.0480715339009642,-0.0457906429258264,Final Score=0.209; ML Score=-0.098; Momentum Score=-0.062; 20D Return=-0.028; 60D Return=-0.157; RSI=47.354; Volatility=0.048
2020-04-30,UNH,Healthcare,1,0.4515225527274366,0.0205178175954447,0.1212624192399251,0.2323866180449769,0.0414114977726318,65.6194863076254,0.0352135035307742,0.7921519819650573,Final Score=0.452; ML Score=0.021; Momentum Score=0.121; 20D Return=0.232; 60D Return=0.041; RSI=65.619; Volatility=0.035
2020-04-30,JNJ,Healthcare,2,0.2330164448464064,0.0189628818434629,0.0755926183857955,0.1648163661976769,-0.0102903216001033,66.10602484922535,0.0204956145179349,0.5971223021582734,Final Score=0.233; ML Score=0.019; Momentum Score=0.076; 20D Return=0.165; 60D Return=-0.01; RSI=66.106; Volatility=0.02
2020-04-30,PFE,Healthcare,3,-0.0010573585835651,0.0083448301517585,0.0607777756949452,0.2081889630961371,0.0177765953122948,68.53932471469912,0.0199649072459749,0.1105806938430045,Final Score=-0.001; ML Score=0.008; Momentum Score=0.061; 20D Return=0.208; 60D Return=0.018; RSI=68.539; Volatility=0.02
2020-05-29,UNH,Healthcare,1,-0.0131059659186139,0.0135680482153746,0.0621990632618433,0.0423291442922049,0.0533134958188852,67.12067416190774,0.0183880330336816,0.424778357681701,Final Score=-0.013; ML Score=0.014; Momentum Score=0.062; 20D Return=0.042; 60D Return=0.053; RSI=67.121; Volatility=0.018
2020-05-29,ABBV,Healthcare,2,-0.1449473371813689,0.0099337835227105,0.0519322881676175,0.1273722823529499,0.010027227999404,73.50245660235817,0.0189073942450606,0.5695821307566822,Final Score=-0.145; ML Score=0.01; Momentum Score=0.052; 20D Return=0.127; 60D Return=0.01; RSI=73.502; Volatility=0.019
