Date,Strategy,SPY_Benchmark
2020-02-04,1.0187551984738832,1.01524164867173
2020-02-05,1.0368777841700987,1.0269655658357106
2020-02-06,1.0418966060050718,1.0304209645794324
2020-02-07,1.0415676955071076,1.0249290874658494
2020-02-10,1.0541123237606609,1.0325806660662802
2020-02-11,1.0566907007449455,1.0343701830553584
2020-02-12,1.0699369105892995,1.0410343282501051
2020-02-13,1.063065311943556,1.0399235686980726
2020-02-14,1.0683344895046145,1.0415897595408024
2020-02-18,1.065874354103496,1.038905432542504
2020-02-19,1.0807214430616623,1.0438726841446362
2020-02-20,1.0673041763727347,1.0395842930089116
2020-02-21,1.050689505423235,1.0288785120004995
2020-02-24,1.002918504567128,0.9947552903259241
2020-02-25,0.9695647179913509,0.9646120929065212
2020-02-26,0.9692316466737042,0.9610639677369734
2020-02-27,0.9226191520664492,0.9179010528673535
2020-02-28,0.9255246616714263,0.9140443547585295
2020-03-02,0.9735218316968405,0.9536283386793551
2020-03-03,0.9422046678155243,0.9263238062425695
2020-03-04,0.9924720164387951,0.965259838505596
2020-03-05,0.9644866279798435,0.9331729921715198
2020-03-06,0.9494956747720286,0.9177467148830342
2020-03-09,0.8912993791827387,0.8460757300840892
2020-03-10,0.9343144757053182,0.8898559453763046
2020-03-11,0.8927171939433017,0.8464768749051482
2020-03-12,0.8187651407969728,0.765488172177724
2020-03-13,0.9015910948280469,0.830926653294142
2020-03-16,0.7889829520937054,0.7400038079652201
2020-03-17,0.8370566265266869,0.7799582854719014
2020-03-18,0.7998219678807464,0.7404665643447725
2020-03-19,0.797928964997028,0.7420401833057194
2020-03-20,0.7675626184421075,0.7100624965807127
2020-03-23,0.7411454809844953,0.6919074351242135
2020-03-24,0.8065722339896523,0.7545964746855309
2020-03-25,0.8103947223858928,0.7658929745411353
2020-03-26,0.8646268692653104,0.8106132812471825
2020-03-27,0.8334060785391902,0.7864687108585011
2020-03-30,0.874247683266941,0.8120097927348018
2020-03-31,0.8691030275699988,0.7999064699451499
2020-04-01,0.8294046259965656,0.763906671470582
2020-04-02,0.8534098085088351,0.7815342741081749
2020-04-03,0.8395153369419377,0.7702378257672516
2020-04-06,0.8940487282746813,0.8219717532640471
2020-04-07,0.88561747301414,0.8228097425801083
2020-04-08,0.9191221510532499,0.8504301115261931
2020-04-09,0.925805896479535,0.8633713721172251
2020-04-13,0.923675418699572,0.855488750172445
2020-04-14,0.9559339567043944,0.8807196106396769
2020-04-15,0.9487456649408623,0.8620058724675763
2020-04-16,0.9615648354443316,0.8661645496365067
2020-04-17,0.9744650065484296,0.8895642692524008
2020-04-20,0.9590998692421834,0.8738922669354766
2020-04-21,0.9243478896543359,0.8473577759504942
2020-04-22,0.947647832670004,0.8661645496365067
2020-04-23,0.9539734761617771,0.8661025259605654
2020-04-24,0.9679425503903505,0.8781747853975655
2020-04-27,0.982734070867176,0.8908366818734565
2020-04-28,0.9653354399007364,0.8867401314098297
2020-04-29,0.9876120578528971,0.9099535739391756
2020-04-30,0.9846217807861786,0.9014814694995478
2020-05-01,0.9664835341135601,0.8776164692847316
2020-05-04,0.974002947603884,0.8800368350575122
2020-05-05,0.9889820877591072,0.8881677062501008
2020-05-06,0.9886521392430934,0.882147082450586
2020-05-07,0.9926915371699262,0.8927919731060392
2020-05-08,1.0045357961316448,0.9075638078869179
2020-05-11,1.0196105146402352,0.907750084973466
2020-05-12,1.0049569784437435,0.8896574077956751
2020-05-13,0.987844432784147,0.8739232787734474
2020-05-14,1.0040312969798706,0.8843817893129906
2020-05-15,1.0149096195967535,0.8884470188505609
2020-05-18,1.0340924356466692,0.9155086080516825
2020-05-19,1.0280638115071072,0.9061056333261244
2020-05-20,1.0449983173383088,0.9214982200132266
2020-05-21,1.0392188583098227,0.9151363629666724
2020-05-22,1.0436092478891026,0.9168744683040982
2020-05-26,1.0472028545451784,0.9281708136156597
2020-05-27,1.0539492662590422,0.9419809723313616
2020-05-28,1.0497184759637292,0.9402431760820219
2020-05-29,1.0606586827602156,0.9444328650889229
2020-06-01,1.0651064566160473,0.9482501029520897
2020-06-02,1.0721978093609132,0.956101455485494
2020-06-03,1.0798951945195119,0.9688255816960503
2020-06-04,1.0764575059534007,0.966280756453939
2020-06-05,1.1036420328273586,0.9910460272341629
2020-06-08,1.1081638129984628,1.003025354186613
2020-06-09,1.116597387510552,0.9955460406794946
2020-06-10,1.121146951941149,0.989990903537626
2020-06-11,1.0528165343519162,0.9329188187353945
2020-06-12,1.0686302907195941,0.9440912197244352
2020-06-15,1.0806830546337889,0.9529050725579126
2020-06-16,1.0975872102513307,0.9712461535275548
2020-06-17,1.09556271895184,0.9672119358279553
2020-06-18,1.0938635496244438,0.9675841809129654
2020-06-19,1.0907536434573164,0.9620545950528798
2020-06-22,1.104472178337578,0.9682265689852149
2020-06-23,1.1147827706151614,0.9726838252453046
2020-06-24,1.085136352731312,0.9478719851934437
2020-06-25,1.1073118708416168,0.9580332560235337
2020-06-26,1.0597311045192255,0.9352789123313879
2020-06-29,1.0742166960359845,0.9490251928426321
2020-06-30,1.0944659938410828,0.9611817302977718
2020-07-01,1.101428808506974,0.9679143900182674
