Date,Ticker,Sector,Rank,Final_Score,ML_Score,Momentum_Score,Return_20,Return_60,RSI,Volatility,Volume_change,Signal_Summary
2020-01-31,BAC,Finance,1,0.7726048863203843,0.025277482,0.0406321891398349,-0.0788439283590421,0.0132716137322501,31.237779328300547,0.0114972476288081,0.0851258735170983,Final Score=0.773; ML Score=0.025; Momentum Score=0.041; 20D Return=-0.079; 60D Return=0.013; RSI=31.238; Volatility=0.011
2020-01-31,GS,Finance,2,0.3354245996612867,0.019131511,0.076925349734292,0.0146380700263264,0.0813208044748567,44.56088187201739,0.0135030983427282,0.0677867369776497,Final Score=0.335; ML Score=0.019; Momentum Score=0.077; 20D Return=0.015; 60D Return=0.081; RSI=44.561; Volatility=0.014
2020-01-31,MS,Finance,3,0.2630697893611073,0.016901042,0.1063685778538749,0.0042274673738567,0.0702436281355436,50.19762547868429,0.0209984402885302,0.2994508341104549,Final Score=0.263; ML Score=0.017; Momentum Score=0.106; 20D Return=0.004; 60D Return=0.07; RSI=50.198; Volatility=0.021
2020-02-28,V,Finance,1,-0.5269648828329452,0.01867459,-0.0523878518770325,-0.1270352593733893,-0.0001650188701511,28.935739686379904,0.0220631972269809,0.2920976700158526,Final Score=-0.527; ML Score=0.019; Momentum Score=-0.052; 20D Return=-0.127; 60D Return=-0.0; RSI=28.936; Volatility=0.022
2020-02-28,GS,Finance,2,-0.6606378120565082,0.019131377,-0.0890689551531142,-0.1776102885475518,-0.077513302538586,12.657948488613457,0.0164104307922285,0.1502855579494546,Final Score=-0.661; ML Score=0.019; Momentum Score=-0.089; 20D Return=-0.178; 60D Return=-0.078; RSI=12.658; Volatility=0.016
2020-02-28,JPM,Finance,3,-0.6774094758023401,0.016699996,-0.0750416858012961,-0.1455588996110013,-0.1168327410643756,11.258293946618965,0.0191153034307662,0.9965399578361696,Final Score=-0.677; ML Score=0.017; Momentum Score=-0.075; 20D Return=-0.146; 60D Return=-0.117; RSI=11.258; Volatility=0.019
2020-03-31,V,Finance,1,-0.5624064879689928,-0.14386527,-0.0881055108998357,-0.1325041790581516,-0.1502110235733796,45.680275137296185,0.0682266258513876,0.3117248401158166,Final Score=-0.562; ML Score=-0.144; Momentum Score=-0.088; 20D Return=-0.133; 60D Return=-0.15; RSI=45.68; Volatility=0.068
2020-03-31,GS,Finance,2,-0.8070055579193967,-0.11171406,-0.2226489188117777,-0.24008257433175,-0.3324553281130502,44.641970879188555,0.0845925370462644,-0.1359564631092275,Final Score=-0.807; ML Score=-0.112; Momentum Score=-0.223; 20D Return=-0.24; 60D Return=-0.332; RSI=44.642; Volatility=0.085
2020-03-31,BAC,Finance,3,-0.8181360584763325,-0.10217523,-0.2441429411560587,-0.2349549714509431,-0.3916905841252199,46.842103722132734,0.0901858800654273,0.1835272240460117,Final Score=-0.818; ML Score=-0.102; Momentum Score=-0.244; 20D Return=-0.235; 60D Return=-0.392; RSI=46.842; Volatility=0.09
2020-04-30,MS,Finance,1,-0.1190948544223965,0.01839145,-0.0895853586523286,0.2469955489770863,-0.2700851541827604,43.142137600552005,0.037014466101272,-0.1541963678496763,Final Score=-0.119; ML Score=0.018; Momentum Score=-0.09; 20D Return=0.247; 60D Return=-0.27; RSI=43.142; Volatility=0.037
2020-04-30,GS,Finance,2,-0.2708282235911068,0.005532132,-0.0689876896191126,0.262440681704208,-0.2418781668262299,49.136162181195985,0.0325454182967899,-0.1266565142727538,Final Score=-0.271; ML Score=0.006; Momentum Score=-0.069; 20D Return=0.262; 60D Return=-0.242; RSI=49.136; Volatility=0.033
2020-04-30,V,Finance,3,-1.427963500445772,-0.07624457,0.0118307823046731,0.1672653680900064,-0.1220278867941161,53.903464314810265,0.039673070346131,-0.1190409553129956,Final Score=-1.428; ML Score=-0.076; Momentum Score=0.012; 20D Return=0.167; 60D Return=-0.122; RSI=53.903; Volatility=0.04
2020-05-29,JPM,Finance,1,0.3067952913182661,0.045744244,-0.1353422412590652,0.0161862509167263,-0.1880684288902544,55.67873986976459,0.0326847404194192,0.0733392948907294,Final Score=0.307; ML Score=0.046; Momentum Score=-0.135; 20D Return=0.016; 60D Return=-0.188; RSI=55.679; Volatility=0.033
2020-05-29,GS,Finance,2,0.1480690290366652,0.025274586,-0.0229883995162338,0.0712572645005709,-0.0586854444650341,56.86032308637114,0.035765260846053,-0.2176582550500398,Final Score=0.148; ML Score=0.025; Momentum Score=-0.023; 20D Return=0.071; 60D Return=-0.059; RSI=56.86; Volatility=0.036
2020-05-29,V,Finance,3,-0.0503244118295266,0.008486113,0.0492780500459686,0.0924351172763267,0.0048896610214617,63.54417492827721,0.0165201645787664,0.2226598979909484,Final Score=-0.05; ML Score=0.008; Momentum Score=0.049; 20D Return=0.092; 60D Return=0.005; RSI=63.544; Volatility=0.017
