Date,Ticker,Sector,Rank,Final_Score,ML_Score,Momentum_Score,Return_20,Return_60,RSI,Volatility,Volume_change,Signal_Summary
2020-01-31,ABBV,Healthcare,1,0.8403874119299184,0.025365785,0.0517061877547052,-0.0952541163372295,-0.0237378150549772,13.848925675856464,0.0097657678155787,0.275998160073597,Final Score=0.84; ML Score=0.025; Momentum Score=0.052; 20D Return=-0.095; 60D Return=-0.024; RSI=13.849; Volatility=0.01
2020-01-31,JNJ,Healthcare,2,0.290523245082058,0.017908681,0.0920805315758091,0.0198670539989902,0.1431313829468761,69.82311845030168,0.0054876494122691,0.3370784780391309,Final Score=0.291; ML Score=0.018; Momentum Score=0.092; 20D Return=0.02; 60D Return=0.143; RSI=69.823; Volatility=0.005
2020-01-31,MRK,Healthcare,3,-0.2627709067320022,0.017798262,-0.0101044930791778,-0.0717079175000128,0.0183552038717409,30.834142009839,0.0114987300541548,-0.1266184062028574,Final Score=-0.263; ML Score=0.018; Momentum Score=-0.01; 20D Return=-0.072; 60D Return=0.018; RSI=30.834; Volatility=0.011
2020-01-31,UNH,Healthcare,4,-0.4020187904008329,0.01411934,0.034705853475663,-0.0685469668135684,0.0843781580379352,31.181536697596172,0.0164303489962668,0.3135951374709149,Final Score=-0.402; ML Score=0.014; Momentum Score=0.035; 20D Return=-0.069; 60D Return=0.084; RSI=31.182; Volatility=0.016
2020-01-31,PFE,Healthcare,5,-0.4453873650993174,0.016377456,-0.0170898875151859,-0.0485436294800684,-0.0207730066681306,33.52855956244521,0.0153341527915726,0.0488113395878506,Final Score=-0.445; ML Score=0.016; Momentum Score=-0.017; 20D Return=-0.049; 60D Return=-0.021; RSI=33.529; Volatility=0.015
2020-02-28,ABBV,Healthcare,1,0.8235400131254533,0.04533537,0.0840831007707045,0.0480557638033456,-0.0151671804359283,34.22818399202389,0.0236045569001436,0.3007522507596534,Final Score=0.824; ML Score=0.045; Momentum Score=0.084; 20D Return=0.048; 60D Return=-0.015; RSI=34.228; Volatility=0.024
2020-02-28,UNH,Healthcare,2,0.5343028610000014,0.05075608,-0.0284652491901149,-0.0926044674178869,-0.08832152122148,29.185917051921574,0.0298402127443893,0.3099167576239758,Final Score=0.534; ML Score=0.051; Momentum Score=-0.028; 20D Return=-0.093; 60D Return=-0.088; RSI=29.186; Volatility=0.03
2020-02-28,PFE,Healthcare,3,0.0226999098385269,0.042911008,-0.0970413250869469,-0.0984622998656804,-0.1271872416517111,15.805044745741966,0.0131403262335227,0.1914086592785293,Final Score=0.023; ML Score=0.043; Momentum Score=-0.097; 20D Return=-0.098; 60D Return=-0.127; RSI=15.805; Volatility=0.013
2020-02-28,MRK,Healthcare,4,-0.009127514239828,0.043598015,-0.1101036410555027,-0.1149133012948351,-0.1204044100760795,14.55901359854137,0.0129571065014861,0.8587547181299298,Final Score=-0.009; ML Score=0.044; Momentum Score=-0.11; 20D Return=-0.115; 60D Return=-0.12; RSI=14.559; Volatility=0.013
2020-02-28,JNJ,Healthcare,5,-0.1613325926491336,0.027270418,-0.0257534891950163,-0.1056132270441028,-0.0209668380170017,8.289453097011275,0.0130659437373259,0.5772080180158674,Final Score=-0.161; ML Score=0.027; Momentum Score=-0.026; 20D Return=-0.106; 60D Return=-0.021; RSI=8.289; Volatility=0.013
2020-03-31,UNH,Healthcare,1,1.2052660945365106,0.079959005,0.0159217197574929,-0.0459831266041721,-0.1387027784655141,44.41428873596355,0.0795928696876327,0.0227059485832239,Final Score=1.205; ML Score=0.08; Momentum Score=0.016; 20D Return=-0.046; 60D Return=-0.139; RSI=44.414; Volatility=0.08
2020-03-31,JNJ,Healthcare,2,0.7122623152178278,0.02156632,-0.0207658552612785,-0.0328932190835363,-0.0911421819222478,49.61892930843164,0.0539522998875522,-0.2761744966442953,Final Score=0.712; ML Score=0.022; Momentum Score=-0.021; 20D Return=-0.033; 60D Return=-0.091; RSI=49.619; Volatility=0.054
2020-03-31,MRK,Healthcare,3,0.1816560561885594,-0.040295456,-0.0621258734139831,-0.0276759311147185,-0.1568219075911286,47.35395020305899,0.0480715339009642,-0.0457906429258264,Final Score=0.182; ML Score=-0.04; Momentum Score=-0.062; 20D Return=-0.028; 60D Return=-0.157; RSI=47.354; Volatility=0.048
2020-03-31,PFE,Healthcare,4,0.1511157160293239,-0.04051611,-0.0708637862724784,-0.0483964593537448,-0.1615720704419228,51.215728576535035,0.0515768407649484,-0.0159419196975851,Final Score=0.151; ML Score=-0.041; Momentum Score=-0.071; 20D Return=-0.048; 60D Return=-0.162; RSI=51.216; Volatility=0.052
2020-03-31,ABBV,Healthcare,5,-0.4106661182837756,-0.14717521,-0.0363040488836434,-0.1299531494013535,-0.1410371469813658,40.96788254745334,0.0525889928426969,0.9185876532103904,Final Score=-0.411; ML Score=-0.147; Momentum Score=-0.036; 20D Return=-0.13; 60D Return=-0.141; RSI=40.968; Volatility=0.053
2020-04-30,UNH,Healthcare,1,0.8299272100692766,0.026263816,0.1212624192399251,0.2323866180449769,0.0414114977726318,65.6194863076254,0.0352135035307742,0.7921519819650573,Final Score=0.83; ML Score=0.026; Momentum Score=0.121; 20D Return=0.232; 60D Return=0.041; RSI=65.619; Volatility=0.035
2020-04-30,JNJ,Healthcare,2,0.6243693400005387,0.024558716,0.0755926183857955,0.1648163661976769,-0.0102903216001033,66.10602484922535,0.0204956145179349,0.5971223021582734,Final Score=0.624; ML Score=0.025; Momentum Score=0.076; 20D Return=0.165; 60D Return=-0.01; RSI=66.106; Volatility=0.02
