Date,Ticker,Sector,Rank,Final_Score,ML_Score,Momentum_Score,Return_20,Return_60,RSI,Volatility,Volume_change,Signal_Summary
2020-01-31,ABBV,Healthcare,1,0.8403874119299184,0.025365785,0.0517061877547052,-0.0952541163372295,-0.0237378150549772,13.848925675856464,0.0097657678155787,0.275998160073597,Final Score=0.84; ML Score=0.025; Momentum Score=0.052; 20D Return=-0.095; 60D Return=-0.024; RSI=13.849; Volatility=0.01
2020-01-31,BAC,Finance,2,0.7726048863203843,0.025277482,0.0406321891398349,-0.0788439283590421,0.0132716137322501,31.237779328300547,0.0114972476288081,0.0851258735170983,Final Score=0.773; ML Score=0.025; Momentum Score=0.041; 20D Return=-0.079; 60D Return=0.013; RSI=31.238; Volatility=0.011
2020-01-31,NVDA,Technology,3,0.3798906458572766,0.012554536,0.2123535085724842,-0.0145054222017423,0.123182921898737,43.02387273272449,0.0188258478208791,0.2750943188389834,Final Score=0.38; ML Score=0.013; Momentum Score=0.212; 20D Return=-0.015; 60D Return=0.123; RSI=43.024; Volatility=0.019
2020-01-31,GS,Finance,4,0.3354245996612867,0.019131511,0.076925349734292,0.0146380700263264,0.0813208044748567,44.56088187201739,0.0135030983427282,0.0677867369776497,Final Score=0.335; ML Score=0.019; Momentum Score=0.077; 20D Return=0.015; 60D Return=0.081; RSI=44.561; Volatility=0.014
2020-01-31,JNJ,Healthcare,5,0.290523245082058,0.017908681,0.0920805315758091,0.0198670539989902,0.1431313829468761,69.82311845030168,0.0054876494122691,0.3370784780391309,Final Score=0.291; ML Score=0.018; Momentum Score=0.092; 20D Return=0.02; 60D Return=0.143; RSI=69.823; Volatility=0.005
2020-01-31,MS,Finance,6,0.2630697893611073,0.016901042,0.1063685778538749,0.0042274673738567,0.0702436281355436,50.19762547868429,0.0209984402885302,0.2994508341104549,Final Score=0.263; ML Score=0.017; Momentum Score=0.106; 20D Return=0.004; 60D Return=0.07; RSI=50.198; Volatility=0.021
2020-01-31,GOOGL,Technology,7,0.0707463674790399,0.014781416,0.1110518478390751,0.0468334734147912,0.1110180713967599,51.08241017530418,0.0116155601205108,0.6164514939136849,Final Score=0.071; ML Score=0.015; Momentum Score=0.111; 20D Return=0.047; 60D Return=0.111; RSI=51.082; Volatility=0.012
2020-01-31,V,Finance,8,-0.0168488132890365,0.015725313,0.0763038415680078,0.0410737039769297,0.1118748511532601,57.20221366621455,0.0146088896300681,0.948179516793243,Final Score=-0.017; ML Score=0.016; Momentum Score=0.076; 20D Return=0.041; 60D Return=0.112; RSI=57.202; Volatility=0.015
2020-01-31,JPM,Finance,9,-0.088375761954376,0.015502494,0.0671222630251335,-0.0618753700059071,0.0274801512564988,40.83948269275256,0.0127502992324684,0.4129010155930555,Final Score=-0.088; ML Score=0.016; Momentum Score=0.067; 20D Return=-0.062; 60D Return=0.027; RSI=40.839; Volatility=0.013
2020-01-31,MSFT,Technology,10,-0.0908968816405042,0.011051154,0.1526315117601213,0.0598306618260082,0.1776547363100797,65.89201671755654,0.0129700957479026,-0.2995261398323562,Final Score=-0.091; ML Score=0.011; Momentum Score=0.153; 20D Return=0.06; 60D Return=0.178; RSI=65.892; Volatility=0.013
2020-02-28,NVDA,Technology,1,1.7295757477398688,0.050108872,0.2737983931291087,0.0986941400608945,0.2906571543214187,55.870393340419845,0.0410958972673999,0.2502559531164499,Final Score=1.73; ML Score=0.05; Momentum Score=0.274; 20D Return=0.099; 60D Return=0.291; RSI=55.87; Volatility=0.041
