Date,Strategy_Drawdown,SPY_Drawdown
2020-02-04,0.0,0.0
2020-02-05,0.0,0.0
2020-02-06,0.0,0.0
2020-02-07,0.0,-0.005329840165787525
2020-02-10,0.0,0.0
2020-02-11,0.0,0.0
2020-02-12,0.0,0.0
2020-02-13,-0.005394791719943948,-0.0010667789362671654
2020-02-14,0.0,0.0
2020-02-18,-0.0024875896122688035,-0.0025771439361694792
2020-02-19,0.0,0.0
2020-02-20,-0.011219613659578465,-0.004108450620817661
2020-02-21,-0.026587425661649733,-0.014364476203636012
2020-02-24,-0.0658742414579988,-0.04705363311553712
2020-02-25,-0.0979863527970859,-0.07592954855010947
2020-02-26,-0.09989184144055263,-0.07932854971475933
2020-02-27,-0.14139607584303182,-0.12067727353481106
2020-02-28,-0.1418799632341302,-0.12437217473696671
2020-03-02,-0.09638637633787128,-0.08645166702856344
2020-03-03,-0.12516473233016512,-0.11260861840936465
2020-03-04,-0.07662127443458544,-0.07530882962553553
2020-03-05,-0.10161181201848557,-0.10604729663041124
2020-03-06,-0.1121818738731496,-0.12082532225270926
2020-03-09,-0.16094302057762278,-0.18948409956769774
2020-03-10,-0.1213446236161505,-0.14754397046921564
2020-03-11,-0.1609714938913427,-0.18909981444560686
2020-03-12,-0.22980348331637557,-0.26668435026352666
2020-03-13,-0.1581860382517526,-0.20399618034307831
2020-03-16,-0.26213461991596065,-0.29109763319449666
2020-03-17,-0.2188307757203144,-0.2528227462050179
2020-03-18,-0.25001177895778526,-0.2906544246826823
2020-03-19,-0.25114312994592325,-0.28914704198661645
2020-03-20,-0.28072760710905864,-0.31978064114964766
2020-03-23,-0.3070648950400897,-0.3371727136342999
2020-03-24,-0.2445439265158108,-0.277118429104404
2020-03-25,-0.24023854173367898,-0.266296709370497
2020-03-26,-0.19135302704967316,-0.22345585187232297
2020-03-27,-0.21829672645561937,-0.24658574981740677
2020-03-30,-0.18008158256135753,-0.22211823170611356
2020-03-31,-0.1840673101673037,-0.23371291379616665
2020-04-01,-0.219782177319636,-0.2681993821433508
2020-04-02,-0.19817676642948812,-0.2513127973311753
2020-04-03,-0.21194877136777246,-0.2621344183659372
2020-04-06,-0.1569804866136948,-0.21257496200082926
2020-04-07,-0.16830930979140546,-0.2117719951045226
2020-04-08,-0.1386332248652724,-0.18531258019305574
2020-04-09,-0.13816416209911153,-0.17291517795455913
2020-04-13,-0.13922077825892343,-0.18046645216052448
2020-04-14,-0.10560737186039593,-0.1562959197773348
2020-04-15,-0.11096417143858828,-0.1742233364259067
2020-04-16,-0.09776315556994786,-0.1702393454272687
2020-04-17,-0.08953833978186376,-0.14782328905031694
2020-04-20,-0.103700704586275,-0.16283681083321833
2020-04-21,-0.13476528668016075,-0.18825564065615208
2020-04-22,-0.11032887708970529,-0.17023934542726882
2020-04-23,-0.1047880602511887,-0.17029876231271868
2020-04-24,-0.09244259395910137,-0.15873398606368105
2020-04-27,-0.08144395343081412,-0.1466044533054348
2020-04-28,-0.0996228702161801,-0.15052853392289667
2020-04-29,-0.07665795595065206,-0.12829062950314907
2020-04-30,-0.07829283705272594,-0.13640675891746834
2020-05-01,-0.09480446860325142,-0.1592691328293102
2020-05-04,-0.08797512521199435,-0.1569501964112996
2020-05-05,-0.07232117120431458,-0.14916115596438995
2020-05-06,-0.07202810398195314,-0.15492844311968323
2020-05-07,-0.07382229178360433,-0.14473114352829763
2020-05-08,-0.06482233820213212,-0.13057985747843492
2020-05-11,-0.04835680880974447,-0.1304014094237952
2020-05-12,-0.0595441303474612,-0.1477336702264166
2020-05-13,-0.07120510077590791,-0.1628072997887846
2020-05-14,-0.05546910529077653,-0.15278785605716727
2020-05-15,-0.044255020595267314,-0.1488936812807209
2020-05-18,-0.03392573593703263,-0.12296896898872922
2020-05-19,-0.039909032707302505,-0.13197723997710253
2020-05-20,-0.02913441619535284,-0.11723099547957982
2020-05-21,-0.03313616250693774,-0.12332556900057312
2020-05-22,-0.028870942574105607,-0.12166110661481733
2020-05-26,-0.033010228740598224,-0.11083963362877325
2020-05-27,-0.03343376730453629,-0.09760940800252715
2020-05-28,-0.030382521286309583,-0.09927416648571863
2020-05-29,-0.017779430340807312,-0.09526076314179155
2020-06-01,-0.012602643104782096,-0.09160366371227269
2020-06-02,-0.005687730529604584,-0.0840824927456133
2020-06-03,0.0,-0.07189304960619092
2020-06-04,-0.006840475779865796,-0.07433072109595584
2020-06-05,0.0,-0.05060660494680169
2020-06-08,0.0,-0.0391306579285029
2020-06-09,0.0,-0.04629572237904467
2020-06-10,0.0,-0.051617284194319324
2020-06-11,-0.060847220781622524,-0.10629068872263614
2020-06-12,-0.04609097777687288,-0.09558785210920118
2020-06-15,-0.03657572548726318,-0.0871444363291819
2020-06-16,-0.022400737262301185,-0.06957440928561609
2020-06-17,-0.024176010469032394,-0.07343917171677339
2020-06-18,-0.026602218263036104,-0.07308257170492949
2020-06-19,-0.02957009134985744,-0.07837945873388785
2020-06-22,-0.01822368012282305,-0.07246708383505451
2020-06-23,-0.009461750739141128,-0.0681970627134374
2020-06-24,-0.03570295597155959,-0.09196618567283266
2020-06-25,-0.017975407065545124,-0.08223168637359646
2020-06-26,-0.06060964860124296,-0.1040297874020416
2020-06-29,-0.04723351474487503,-0.0908614461398769
2020-06-30,-0.029903047462576438,-0.07921563789257624
2020-07-01,-0.02373144841201258,-0.0727658461477727
2020-07-02,-0.021583485514926615,-0.06765964586746731
2020-07-06,-0.0030042263340374076,-0.053266843009140086
2020-07-07,-0.013581891353870001,-0.06303114945024624
2020-07-08,-0.0012816473368827408,-0.055864703211670697
