Metric,Strategy,SPY Benchmark
Total Return,2.4844,1.3927
CAGR,0.2234,0.1513
Volatility,0.2134,0.2059
Sharpe Ratio,1.0523,0.7879
Max Drawdown,-0.3071,-0.3372
