Date,Ticker,Sector,XGB_Pred,RF_Pred,ML_Score,XGB_Score_Norm,RF_Score_Norm,ML_Score_Norm,Momentum_Score,Momentum_Score_Norm,Final_Score,Overall_Rank,Sector_Rank,Return_5,Return_20,Return_60,Return_120,MA_ratio,Volatility,RSI,Volume_change,Signal_Summary
2020-01-02,AAPL,Technology,0.024056518,0.02229802064218472,0.023177269546282048,1.3504623,1.810471100046426,1.580466708756581,0.3039272472172795,2.1609670745378686,1.812666855069096,2.0,2.0,0.0565660031353869,0.1576411330589868,0.3227781614240927,0.4773733477369895,1.075794573187961,0.0093108317042605,95.78943091888952,0.3439769219170363,"XGBoost prediction: 0.0241, Random Forest prediction: 0.0223, Combined ML score: 0.0232, Momentum score: 0.3039, 20-day return: 0.1576, 60-day return: 0.3228, 120-day return: 0.4774, MA ratio: 1.0758, RSI: 95.79, Volatility: 0.0093, Volume change: 0.344"
2020-01-03,AAPL,Technology,0.032724455,0.02183354142931794,0.027278998214143986,1.303304,1.5727459815567724,1.4380249692711229,0.28608351612123484,2.121826237103177,1.7115454764039444,2.0,2.0,0.0259390463201691,0.1363567042600086,0.3254456362106033,0.449393221308648,1.0585695713543029,0.0100540276346225,87.60491780242002,0.0800292883693878,"XGBoost prediction: 0.0327, Random Forest prediction: 0.0218, Combined ML score: 0.0273, Momentum score: 0.2861, 20-day return: 0.1364, 60-day return: 0.3254, 120-day return: 0.4494, MA ratio: 1.0586, RSI: 87.6, Volatility: 0.0101, Volume change: 0.08"
2020-01-06,AAPL,Technology,0.032792915,0.02229802064218472,0.027545467650484795,1.8700002,2.031172259477266,1.9505862513321084,0.290210196177499,2.118862846080406,2.0178968892314275,1.0,1.0,0.0345065576991809,0.1288500751218755,0.3205302797204958,0.4660146102345659,1.0605462716148324,0.0098760417854578,87.11224772037451,-0.190917615026503,"XGBoost prediction: 0.0328, Random Forest prediction: 0.0223, Combined ML score: 0.0275, Momentum score: 0.2902, 20-day return: 0.1289, 60-day return: 0.3205, 120-day return: 0.466, MA ratio: 1.0605, RSI: 87.11, Volatility: 0.0099, Volume change: -0.1909"
2020-01-07,AAPL,Technology,0.019939024,0.02183354142931794,0.02088628271533894,-0.12179148,1.836131008175544,0.8571697631019016,0.27661705904454903,2.0592851888142967,1.3380159333868598,2.0,2.0,0.0235662249371291,0.1022497287395194,0.2968404511174283,0.4673715549167065,1.050415720541,0.0096451600185648,80.97627569656726,-0.0803735538977187,"XGBoost prediction: 0.0199, Random Forest prediction: 0.0218, Combined ML score: 0.0209, Momentum score: 0.2766, 20-day return: 0.1022, 60-day return: 0.2968, 120-day return: 0.4674, MA ratio: 1.0504, RSI: 80.98, Volatility: 0.0096, Volume change: -0.0804"
2020-01-08,AAPL,Technology,0.0032828092,0.02183354142931794,0.012558175296846504,-1.9140434,1.9729828079217455,0.02946969070403682,0.2830984424914813,2.039173793407826,0.8333513317855525,3.0,2.0,0.0324876851462998,0.135883362764372,0.2835612117342481,0.4742292961325358,1.060542484379639,0.0088519932112746,83.34308597361874,0.2131604085531633,"XGBoost prediction: 0.0033, Random Forest prediction: 0.0218, Combined ML score: 0.0126, Momentum score: 0.2831, 20-day return: 0.1359, 60-day return: 0.2836, 120-day return: 0.4742, MA ratio: 1.0605, RSI: 83.34, Volatility: 0.0089, Volume change: 0.2132"
2020-01-09,AAPL,Technology,0.019858312,0.02127439853133106,0.020566355196542263,0.15474217,1.863011777126565,1.0088769717632604,0.31402827908508674,2.184842700125196,1.479263263108035,2.0,2.0,0.0308972818069412,0.1532702332114395,0.3127146788169421,0.528357818647643,1.0753300931127978,0.0094480025189009,87.42802420618361,0.2879272436538076,"XGBoost prediction: 0.0199, Random Forest prediction: 0.0213, Combined ML score: 0.0206, Momentum score: 0.314, 20-day return: 0.1533, 60-day return: 0.3127, 120-day return: 0.5284, MA ratio: 1.0753, RSI: 87.43, Volatility: 0.0094, Volume change: 0.2879"
2020-01-10,AAPL,Technology,0.01445158,0.021738877744197846,0.018095228933155537,-0.33726877,3.602090467743152,1.6324108490010467,0.3055087631656541,2.3573451076644525,1.922384552466409,1.0,1.0,0.0433715301554884,0.1461018545766395,0.3187573385747,0.4975870318702657,1.070407930344121,0.0095053032111154,87.55887967520503,-0.1732048505541172,"XGBoost prediction: 0.0145, Random Forest prediction: 0.0217, Combined ML score: 0.0181, Momentum score: 0.3055, 20-day return: 0.1461, 60-day return: 0.3188, 120-day return: 0.4976, MA ratio: 1.0704, RSI: 87.56, Volatility: 0.0095, Volume change: -0.1732"
2020-01-13,AAPL,Technology,0.029010821,0.021738877744197846,0.025374849439024925,1.0138161,2.3690606832822008,1.6914384007612786,0.32902652847633884,2.437100422797606,1.9897032095758096,1.0,1.0,0.0572381733182707,0.1676121764983162,0.3523915094020238,0.5177168981666511,1.0847643115059125,0.0099732230099621,90.43102796239232,-0.1358941105536785,"XGBoost prediction: 0.029, Random Forest prediction: 0.0217, Combined ML score: 0.0254, Momentum score: 0.329, 20-day return: 0.1676, 60-day return: 0.3524, 120-day return: 0.5177, MA ratio: 1.0848, RSI: 90.43, Volatility: 0.01, Volume change: -0.1359"
2020-01-14,AAPL,Technology,0.012884862,0.021738877744197846,0.017311869766920805,-0.605002,2.7891553886785054,1.0920767013258708,0.30760899309861967,2.5577348148144607,1.6783399467213067,1.0,1.0,0.0478902688623148,0.1363983267737822,0.3289697139495866,0.4984424949418287,1.0632878585758276,0.0109418339025003,81.09279673914482,0.3326070499950631,"XGBoost prediction: 0.0129, Random Forest prediction: 0.0217, Combined ML score: 0.0173, Momentum score: 0.3076, 20-day return: 0.1364, 60-day return: 0.329, 120-day return: 0.4984, MA ratio: 1.0633, RSI: 81.09, Volatility: 0.0109, Volume change: 0.3326"
2020-01-15,AAPL,Technology,0.004987981,0.02127439853133106,0.013131189850873469,-1.5924319,2.3642477374466435,0.38590791728060325,0.2979833091844021,2.4531071622693887,1.2127876152761174,2.0,2.0,0.0268808134531395,0.1124848589796883,0.3169493317333367,0.5039126167156929,1.0530944426994355,0.0108921899897219,78.68193041294116,-0.2471732784042916,"XGBoost prediction: 0.005, Random Forest prediction: 0.0213, Combined ML score: 0.0131, Momentum score: 0.298, 20-day return: 0.1125, 60-day return: 0.3169, 120-day return: 0.5039, MA ratio: 1.0531, RSI: 78.68, Volatility: 0.0109, Volume change: -0.2472"
