Date,Ticker,XGB_Pred,ML_Score,ML_Score_Norm,Momentum_Score,Momentum_Score_Norm,Final_Score,Return_5,Return_20,Return_60,Return_120,MA_ratio,Volatility,RSI,Volume_change,Signal_Summary
2020-01-02,AAPL,0.024056518,0.024056518,1.3504623,0.3039272472172795,2.1609670745378686,1.6746642322161178,0.0565660031353869,0.1576411330589868,0.3227781614240927,0.4773733477369895,1.075794573187961,0.0093108317042605,95.78943091888952,0.3439769219170363,"ML prediction: 0.0241, Momentum score: 0.3039, 20-day return: 0.1576, 60-day return: 0.3228, 120-day return: 0.4774, RSI: 95.79, Volatility: 0.0093"
2020-01-03,AAPL,0.032724455,0.032724455,1.303304,0.28608351612123484,2.121826237103177,1.6307129167162708,0.0259390463201691,0.1363567042600086,0.3254456362106033,0.449393221308648,1.0585695713543029,0.0100540276346225,87.60491780242002,0.0800292883693878,"ML prediction: 0.0327, Momentum score: 0.2861, 20-day return: 0.1364, 60-day return: 0.3254, 120-day return: 0.4494, RSI: 87.6, Volatility: 0.0101"
2020-01-06,AAPL,0.032792915,0.032792915,1.8700002,0.290210196177499,2.118862846080406,1.9695453558699065,0.0345065576991809,0.1288500751218755,0.3205302797204958,0.4660146102345659,1.0605462716148324,0.0098760417854578,87.11224772037451,-0.190917615026503,"ML prediction: 0.0328, Momentum score: 0.2902, 20-day return: 0.1289, 60-day return: 0.3205, 120-day return: 0.466, RSI: 87.11, Volatility: 0.0099"
2020-01-07,AAPL,0.019939024,0.019939024,-0.12179148,0.27661705904454903,2.0592851888142967,0.7506391833624421,0.0235662249371291,0.1022497287395194,0.2968404511174283,0.4673715549167065,1.050415720541,0.0096451600185648,80.97627569656726,-0.0803735538977187,"ML prediction: 0.0199, Momentum score: 0.2766, 20-day return: 0.1022, 60-day return: 0.2968, 120-day return: 0.4674, RSI: 80.98, Volatility: 0.0096"
2020-01-08,AAPL,0.0032828092,0.0032828092,-1.9140434,0.2830984424914813,2.039173793407826,-0.3327565385450727,0.0324876851462998,0.135883362764372,0.2835612117342481,0.4742292961325358,1.060542484379639,0.0088519932112746,83.34308597361874,0.2131604085531633,"ML prediction: 0.0033, Momentum score: 0.2831, 20-day return: 0.1359, 60-day return: 0.2836, 120-day return: 0.4742, RSI: 83.34, Volatility: 0.0089"
2020-01-09,AAPL,0.019858312,0.019858312,0.15474217,0.31402827908508674,2.184842700125196,0.9667823858505165,0.0308972818069412,0.1532702332114395,0.3127146788169421,0.528357818647643,1.0753300931127978,0.0094480025189009,87.42802420618361,0.2879272436538076,"ML prediction: 0.0199, Momentum score: 0.314, 20-day return: 0.1533, 60-day return: 0.3127, 120-day return: 0.5284, RSI: 87.43, Volatility: 0.0094"
2020-01-10,AAPL,0.01445158,0.01445158,-0.33726877,0.3055087631656541,2.3573451076644525,0.7405767722804493,0.0433715301554884,0.1461018545766395,0.3187573385747,0.4975870318702657,1.070407930344121,0.0095053032111154,87.55887967520503,-0.1732048505541172,"ML prediction: 0.0145, Momentum score: 0.3055, 20-day return: 0.1461, 60-day return: 0.3188, 120-day return: 0.4976, RSI: 87.56, Volatility: 0.0095"
2020-01-13,AAPL,0.029010821,0.029010821,1.0138161,0.32902652847633884,2.437100422797606,1.583129887746972,0.0572381733182707,0.1676121764983162,0.3523915094020238,0.5177168981666511,1.0847643115059125,0.0099732230099621,90.43102796239232,-0.1358941105536785,"ML prediction: 0.029, Momentum score: 0.329, 20-day return: 0.1676, 60-day return: 0.3524, 120-day return: 0.5177, RSI: 90.43, Volatility: 0.01"
2020-01-14,AAPL,0.012884862,0.012884862,-0.605002,0.30760899309861967,2.5577348148144607,0.6600927283492615,0.0478902688623148,0.1363983267737822,0.3289697139495866,0.4984424949418287,1.0632878585758276,0.0109418339025003,81.09279673914482,0.3326070499950631,"ML prediction: 0.0129, Momentum score: 0.3076, 20-day return: 0.1364, 60-day return: 0.329, 120-day return: 0.4984, RSI: 81.09, Volatility: 0.0109"
2020-01-15,AAPL,0.004987981,0.004987981,-1.5924319,0.2979833091844021,2.4531071622693887,0.025783687413706513,0.0268808134531395,0.1124848589796883,0.3169493317333367,0.5039126167156929,1.0530944426994355,0.0108921899897219,78.68193041294116,-0.2471732784042916,"ML prediction: 0.005, Momentum score: 0.298, 20-day return: 0.1125, 60-day return: 0.3169, 120-day return: 0.5039, RSI: 78.68, Volatility: 0.0109"
2020-01-16,AAPL,0.004941673,0.004941673,-1.1559554,0.30189014173354733,2.397072639891127,0.26525575988635186,0.0181183517846914,0.1242109272757447,0.3107147205286515,0.5174736781488549,1.0600417807836708,0.0109726192694755,77.86578303302548,-0.1073984035904451,"ML prediction: 0.0049, Momentum score: 0.3019, 20-day return: 0.1242, 60-day return: 0.3107, 120-day return: 0.5175, RSI: 77.87, Volatility: 0.011"
2020-01-17,AAPL,0.012493814,0.012493814,-0.7198861,0.3124424342317364,2.4019331184730506,0.5288415431064597,0.0270680397561464,0.1393795027993174,0.3282630524610201,0.5200783199146999,1.0647972319408143,0.0108477005926188,79.62321436495233,0.2663549856104794,"ML prediction: 0.0125, Momentum score: 0.3124, 20-day return: 0.1394, 60-day return: 0.3283, 120-day return: 0.5201, RSI: 79.62, Volatility: 0.0108"
2020-01-21,AAPL,0.014414782,0.014414782,-0.27367112,0.2971584229578615,2.440974066676225,0.8121869514471396,-0.0012303891386072,0.130526461483299,0.3017929799277707,0.5162851287247474,1.051163611400176,0.0111929573930669,75.4211730223806,-0.1957183615302677,"ML prediction: 0.0144, Momentum score: 0.2972, 20-day return: 0.1305, 60-day return: 0.3018, 120-day return: 0.5163, RSI: 75.42, Volatility: 0.0112"
2020-01-22,AAPL,0.014368473,0.014368473,-0.05120858,0.2930241346815951,2.2331398025566727,0.862530771584884,0.0160548153026705,0.1369167242748199,0.3042943173445973,0.4912693495081468,1.048257158944052,0.0110433149829411,74.91197823116866,-0.0812932141980744,"ML prediction: 0.0144, Momentum score: 0.293, 20-day return: 0.1369, 60-day return: 0.3043, 120-day return: 0.4913, RSI: 74.91, Volatility: 0.011"
2020-01-23,AAPL,0.0024598218,0.0024598218,-1.3192813,0.3030580652279507,2.2809683261695493,0.12081851475965932,0.0253421171106928,0.1240493344589017,0.2946305808086167,0.5315934472199471,1.047218873493748,0.0108016314457209,71.90257027543723,0.025921023171407,"ML prediction: 0.0025, Momentum score: 0.3031, 20-day return: 0.124, 60-day return: 0.2946, 120-day return: 0.5316, RSI: 71.9, Volatility: 0.0108"
2020-01-24,AAPL,-0.0017161961,-0.0017161961,-2.2545512,0.3049054339104549,2.334325387331491,-0.4190005961050012,0.0097386353867612,0.1197453472420007,0.2780967422531701,0.5601901327945416,1.0384030646642124,0.0109276779370491,75.40148088306488,0.4026495137453096,"ML prediction: -0.0017, Momentum score: 0.3049, 20-day return: 0.1197, 60-day return: 0.2781, 120-day return: 0.5602, RSI: 75.4, Volatility: 0.0109"
2020-01-27,AAPL,0.0061476664,0.0061476664,-1.7071973,0.2987843859889725,2.3943390035912553,-0.06658285521327811,-0.0306842733416665,0.0656755831272142,0.2698837631339643,0.5979622326416867,1.004748163583469,0.0129426814837821,59.513444497186214,0.1051088594326643,"ML prediction: 0.0061, Momentum score: 0.2988, 20-day return: 0.0657, 60-day return: 0.2699, 120-day return: 0.598, RSI: 59.51, Volatility: 0.0129"
2020-01-28,AAPL,-0.001060626,-0.001060626,-1.7055713,0.325993004689314,2.2630341830667864,-0.11812917459738204,0.0035379065965666,0.0962388399697309,0.3059689616677958,0.6126396063015547,1.0285074269374346,0.0140573566175648,67.41248082325902,0.001815487217488,"ML prediction: -0.0011, Momentum score: 0.326, 20-day return: 0.0962, 60-day return: 0.306, 120-day return: 0.6126, RSI: 67.41, Volatility: 0.0141"
2020-01-29,AAPL,-0.001060626,-0.001060626,-1.8708205,0.337132204764483,2.325949991526573,-0.19211231677438056,0.0209001695805173,0.1125823564801229,0.3038269958997677,0.6295217407470015,1.044487476319616,0.0145191972538824,68.46516322138224,0.3328229594289729,"ML prediction: -0.0011, Momentum score: 0.3371, 20-day return: 0.1126, 60-day return: 0.3038, 120-day return: 0.6295, RSI: 68.47, Volatility: 0.0145"
2020-01-30,AAPL,-0.007787211,-0.007787211,-2.3053675,0.3097810070383639,2.225536263656069,-0.4930060479357047,0.0145349245721702,0.1029116357869093,0.2660072935840558,0.5920464374855423,1.0379234305827656,0.0145920418102357,63.879136084635434,-0.413847898433699,"ML prediction: -0.0078, Momentum score: 0.3098, 20-day return: 0.1029, 60-day return: 0.266, 120-day return: 0.592, RSI: 63.88, Volatility: 0.0146"
